2049,Daidzin,MG
2050,Genistin,MG
2051,Glycitin,MG
2052,Delta-7-Stigmastenol,MG
2053,Stigmastadiene,MG
2054,Total Tocotrienols,MG
2055,Total Tocopherols,MG
2057,Ergothioneine,MG
2058,Beta-glucan,G
2059,Vitamin D4,UG
2060,Ergosta-7-enol,MG
2061," Ergosta-7,22-dienol",MG
2062," Ergosta-5,7-dienol",MG
2063,Verbascose,G
2064,Oligosaccharides,MG
2065,Low Molecular Weight Dietary Fiber (LMWDF),G
